PRAGMA table_info(dive_data),,,,,
cid,name,type,notnull,dflt_value,pk
0,data_id,integer,0,,1
1,dive_id,integer,1,,0
2,dive_number,integer,1,,0
3,runtime_s,integer,1,,0
4,depth_cm,integer,1,,0
5,temperature_mCx10,integer,1,,0
6,active_O2_fr,integer,1,,0
7,suggested_O2_fr,integer,1,,0
8,first_stop_depth_cm,integer,1,,0
9,first_stop_time_s,integer,1,,0
10,ndl_tts_s,integer,1,,0
11,cns,integer,1,,0
12,tissue1_N2_mb,integer,1,,0
13,tissue2_N2_mb,integer,1,,0
14,tissue3_N2_mb,integer,1,,0
15,tissue4_N2_mb,integer,1,,0
16,tissue5_N2_mb,integer,1,,0
17,tissue6_N2_mb,integer,1,,0
18,tissue7_N2_mb,integer,1,,0
19,tissue8_N2_mb,integer,1,,0
20,tissue9_N2_mb,integer,1,,0
21,tissue10_N2_mb,integer,1,,0
22,tissue11_N2_mb,integer,1,,0
23,tissue12_N2_mb,integer,1,,0
24,tissue13_N2_mb,integer,1,,0
25,tissue14_N2_mb,integer,1,,0
26,tissue15_N2_mb,integer,1,,0
27,tissue16_N2_mb,integer,1,,0
28,gf_h,integer,1,,0
29,gf_l,integer,1,,0
,,,,,
PRAGMA table_info(headers_dive),,,,,
cid,name,type,notnull,dflt_value,pk
0,dive_id,integer,0,,1
1,start_address,integer,1,,0
2,dive_number,integer,1,,0
3,device_sn,text,1,,0
4,date,text,1,,0
5,timezone,integer,1,,0
6,time,text,1,,0
7,elapsed_surface_time,integer,1,,0
8,residual_desat_time,integer,1,,0
9,residual_nofly_time,integer,1,,0
10,dive_type,text,1,,0
11,start_mode,text,0,,0
12,water_type,text,0,,0
13,safety_stop_dm,integer,0,,0
14,safety_stop_min,integer,0,,0
15,firmware_version,text,1,,0
16,date_end,text,1,,0
17,time_end,text,1,,0
18,allowed_altitude,integer,0,,0
19,new_desat_time,integer,0,,0
20,new_nofly_time,integer,0,,0
21,max_depth,integer,1,,0
22,total_dive_time,integer,1,,0
23,max_temperature,integer,1,,0
24,min_temperature,integer,1,,0
25,start_active_o2,integer,0,,0
26,average_depth,integer,1,,0
27,deco_violation,text,0,,0
28,sample_number,integer,1,,0
29,created_at,text,1,,0
30,comment,text,0,,0
,,,,,
.tables,,,,,
dive_data     headers_dive,,,,,
